Unnamed: 0,Per 90 Minutes,Per 90 Minutes.1,Per 90 Minutes.2,Per 90 Minutes.3,Per 90 Minutes.4
Rk,Gls,Ast,G+A,G-PK,G+A-PK
1576,0,0,0,0,0
1577,0.38,0.58,0.96,0.34,0.91
1578,0,0,0,0,0
1579,0.1,0.03,0.14,0.1,0.14
1580,0.04,0,0.04,0.04,0.04
1581,0.26,0.13,0.39,0.26,0.39
1582,0,0,0,0,0
1583,0,0,0,0,0
1584,0.13,0.06,0.19,0.13,0.19
1585,0,0,0,0,0
1586,0,0,0,0,0
1587,0.11,0.04,0.15,0.11,0.15
1588,0,0,0,0,0
1589,0.18,0.06,0.24,0.18,0.24
1590,0,0,0,0,0
1591,0.35,0.22,0.58,0.35,0.58
1592,0,0,0,0,0
1593,0,0,0,0,0
1594,0.04,0.13,0.17,0.04,0.17
1595,0.1,0.1,0.2,0,0.1
1596,0,0,0,0,0
1597,0,0,0,0,0
1598,0,0,0,0,0
1599,0,0,0,0,0
1600,0.25,0.08,0.33,0.25,0.33
1601,0,0.08,0.08,0,0.08
1602,0.39,0.79,1.18,0.39,1.18
1603,0.31,0.08,0.38,0.31,0.38
1604,0,0,0,0,0
1605,0,0,0,0,0
1606,0,0.17,0.17,0,0.17
1607,0.09,0,0.09,0.09,0.09
1608,0.11,0.05,0.16,0.11,0.16
1609,0,0,0,0,0
1610,0,0.12,0.12,0,0.12
1611,0,0.12,0.12,0,0.12
1612,0,0,0,0,0
1613,0.06,0.12,0.18,0.06,0.18
1614,0,0,0,0,0
1615,0.06,0,0.06,0,0
1616,0,0,0,0,0
1617,0,0,0,0,0
1618,0.18,0,0.18,0.18,0.18
1619,0,0,0,0,0
1620,0,0,0,0,0
1621,0,0.33,0.33,0,0.33
1622,0.09,0.18,0.27,0.09,0.27
1623,0.22,0.04,0.26,0.22,0.26
1624,0,0,0,0,0
1625,0,0,0,0,0
1626,0.13,0.04,0.17,0.13,0.17
1627,0,0,0,0,0
1628,0.49,0.16,0.66,0.41,0.57
1629,0.24,0.18,0.43,0.24,0.43
1630,0,0.18,0.18,0,0.18
1631,0,0,0,0,0
1632,0,0,0,0,0
1633,0,0,0,0,0
1634,0.31,0.15,0.46,0.31,0.46
1635,0.06,0,0.06,0.06,0.06
1636,0,0,0,0,0
1637,0.04,0,0.04,0.04,0.04
1638,0.2,0.2,0.39,0.2,0.39
1639,0,0,0,0,0
1640,0,0,0,0,0
1641,0.6,0.21,0.81,0.53,0.74
1642,0,0.17,0.17,0,0.17
1643,0.17,0.12,0.29,0.17,0.29
1644,0.06,0.09,0.15,0.06,0.15
1645,0,0,0,0,0
1646,0,0.68,0.68,0,0.68
1647,0.05,0.05,0.1,0.05,0.1
1648,0,0,0,0,0
1649,0,0,0,0,0
1650,0,0,0,0,0
1651,0,0,0,0,0
1652,0,0.18,0.18,0,0.18
1653,0.22,0,0.22,0.18,0.18
1654,0.18,0.35,0.53,0,0.35
1655,0.17,0,0.17,0.17,0.17
1656,0.29,0.29,0.57,0.29,0.57
1657,0.41,0,0.41,0.41,0.41
1658,0.63,0.09,0.72,0.54,0.63
1659,0,0,0,0,0
1660,0.13,0.26,0.39,0.13,0.39
1661,0,0,0,0,0
1662,0,0,0,0,0
1663,0,0,0,0,0
1664,0,0,0,0,0
1665,0,0,0,0,0
1666,0.29,0.07,0.36,0.18,0.25
1667,0,0.72,0.72,0,0.72
1668,0.4,0,0.4,0.4,0.4
1669,0,0,0,0,0
1670,0.33,0,0.33,0.33,0.33
1671,0.58,0.17,0.75,0.58,0.75
1672,0,0,0,0,0
1673,0,0,0,0,0
1674,0,0,0,0,0
1675,0,0.05,0.05,0,0.05
1676,1.02,0.26,1.29,0.79,1.06
1677,0.21,0,0.21,0.21,0.21
1678,0,0.08,0.08,0,0.08
1679,0.16,0.04,0.2,0.16,0.2
1680,0,0.12,0.12,0,0.12
1681,0.07,0,0.07,0.07,0.07
1682,0,0,0,0,0
1683,0,0,0,0,0
1684,0.08,0.14,0.22,0.08,0.22
1685,0.3,0.04,0.34,0.3,0.34
1686,0.26,0.11,0.37,0.26,0.37
1687,0.06,0.15,0.21,0.06,0.21
1688,0.17,0.04,0.21,0.17,0.21
1689,0,0.18,0.18,0,0.18
1690,0.09,0,0.09,0.09,0.09
1691,0,0.14,0.14,0,0.14
1692,0.07,0,0.07,0.07,0.07
1693,0,0,0,0,0
1694,0,0.22,0.22,0,0.22
1695,0.1,0.1,0.2,0.1,0.2
1696,0,0,0,0,0
1697,0,0,0,0,0
1698,0,0,0,0,0
1699,0,0,0,0,0
1700,0.34,0.05,0.39,0.34,0.39
1701,0.08,0.12,0.19,0.08,0.19
1702,0.08,0,0.08,0.08,0.08
1703,0,0,0,0,0
1704,0.11,0,0.11,0.11,0.11
1705,0,0.04,0.04,0,0.04
1706,0.3,0,0.3,0.27,0.27
1707,0.22,0.04,0.26,0.22,0.26
1708,0,0,0,0,0
1709,0,0,0,0,0
1710,0.19,0.09,0.28,0.19,0.28
1711,0,0,0,0,0
1712,0,0,0,0,0
1713,0.04,0,0.04,0.04,0.04
1714,0,0.06,0.06,0,0.06
1715,0,0,0,0,0
1716,0,0,0,0,0
1717,0,0,0,0,0
1718,0,0,0,0,0
1719,0.08,0.17,0.25,0.08,0.25
1720,0,0.16,0.16,0,0.16
1721,0,0,0,0,0
1722,0.56,0.49,1.05,0.56,1.05
1723,0.05,0,0.05,0,0
1724,0,0,0,0,0
1725,0.89,0.27,1.16,0.8,1.07
1726,0.25,0.11,0.36,0.25,0.36
1727,0.06,0.06,0.12,0.06,0.12
1728,0,0,0,0,0
1729,0,0,0,0,0
1730,0,0,0,0,0
1731,0.19,0,0.19,0.19,0.19
1732,0,0,0,0,0
1733,0,0,0,0,0
1734,0,0.31,0.31,0,0.31
1735,0,0,0,0,0
1736,0,0,0,0,0
1737,0,0,0,0,0
1738,0.39,0,0.39,0.39,0.39
1739,0.09,0.03,0.12,0.09,0.12
1740,0.66,0.07,0.74,0.44,0.52
1741,0.26,0.29,0.56,0.26,0.56
1742,0,0,0,0,0
1743,0.08,0,0.08,0.08,0.08
1744,0.04,0.04,0.08,0,0.04
1745,0.07,0.07,0.14,0.07,0.14
1746,0.18,0.14,0.32,0.18,0.32
1747,0,0,0,0,0
1748,0,0,0,0,0
1749,0,0,0,0,0
1750,0,0.08,0.08,0,0.08
1751,0.45,0.11,0.56,0.41,0.52
1752,0.09,0,0.09,0.09,0.09
1753,0.25,0,0.25,0.25,0.25
1754,0.31,0,0.31,0.31,0.31
1755,0.06,0.06,0.11,0.06,0.11
1756,0.09,0.09,0.19,0.09,0.19
1757,0.41,0.03,0.44,0.34,0.38
1758,0,0.16,0.16,0,0.16
1759,0.53,0.27,0.8,0.53,0.8
1760,0.05,0.11,0.16,0.05,0.16
1761,0,0,0,0,0
1762,0.05,0.05,0.11,0.05,0.11
1763,0.19,0.19,0.39,0.13,0.32
1764,0.06,0,0.06,0.06,0.06
1765,0,0.1,0.1,0,0.1
1766,0.43,0.33,0.75,0.39,0.72
1767,0,0,0,0,0
1768,0,0,0,0,0
1769,0,0,0,0,0
1770,0.16,0.1,0.26,0.16,0.26
1771,0.61,0.09,0.69,0.56,0.65
1772,0.29,0.06,0.35,0.29,0.35
1773,0,0,0,0,0
1774,0.96,0,0.96,0.96,0.96
1775,0,0,0,0,0
1776,0,0,0,0,0
1777,0,0,0,0,0
1778,0.45,0.11,0.56,0.45,0.56
1779,0.1,0.25,0.34,0.1,0.34
1780,0.04,0.16,0.19,0.04,0.19
1781,0,0,0,0,0
1782,0.11,0.19,0.31,0.11,0.31
1783,0,0,0,0,0
1784,0,0,0,0,0
1785,0.07,0,0.07,0.07,0.07
1786,0,0,0,0,0
1787,0.16,0,0.16,0.16,0.16
1788,0,0,0,0,0
1789,0.04,0.04,0.09,0.04,0.09
1790,0,0,0,0,0
1791,0,0,0,0,0
1792,0.07,0.07,0.13,0,0.07
1793,0,0,0,0,0
1794,0,0,0,0,0
1795,0,0,0,0,0
1796,0,0,0,0,0
1797,0.49,0.4,0.89,0.45,0.85
1798,0,0,0,0,0
1799,0.13,0.13,0.26,0.13,0.26
1800,0,0,0,0,0
1801,0,0,0,0,0
1802,0,0.1,0.1,0,0.1
1803,0.77,0.24,1.01,0.44,0.67
1804,0.09,0.22,0.31,0.09,0.31
1805,0,0.22,0.22,0,0.22
1806,0,0,0,0,0
1807,0,0,0,0,0
1808,0.09,0,0.09,0.09,0.09
1809,0,0,0,0,0
1810,0,0,0,0,0
1811,0.64,0,0.64,0.64,0.64
1812,0.12,0.04,0.16,0.12,0.16
1813,0,0,0,0,0
1814,0.3,0.13,0.44,0.27,0.4
1815,0.19,0.16,0.34,0.16,0.31
1816,0.19,0.26,0.45,0.19,0.45
1817,0,0,0,0,0
1818,0.04,0.04,0.07,0.04,0.07
1819,0,0,0,0,0
1820,0,0,0,0,0
1821,0,0,0,0,0
1822,0.16,0.05,0.21,0.16,0.21
1823,0.06,0.03,0.09,0.06,0.09
1824,0,0,0,0,0
1825,0,0,0,0,0
1826,0,0,0,0,0
1827,0.37,0.64,1.01,0.34,0.98
1828,0,0,0,0,0
1829,0.05,0,0.05,0.05,0.05
1830,0.23,0.14,0.37,0.23,0.37
1831,0,0.07,0.07,0,0.07
1832,0,0,0,0,0
1833,1.38,0.44,1.82,1.25,1.69
1834,0.07,0,0.07,0.07,0.07
1835,0.11,0,0.11,0.11,0.11
1836,0.11,0.17,0.28,0.11,0.28
1837,0,0,0,0,0
1838,0.13,0.38,0.5,0.13,0.5
1839,0,0,0,0,0
1840,0,0,0,0,0
1841,0.06,0,0.06,0.06,0.06
1842,0.61,0.1,0.72,0.61,0.72
1843,0,0,0,0,0
1844,0,0,0,0,0
1845,0.09,0,0.09,0.09,0.09
1846,0.08,0.08,0.16,0.08,0.16
1847,0.05,0.11,0.16,0.05,0.16
1848,0,0.15,0.15,0,0.15
1849,0.13,0.04,0.18,0.13,0.18
1850,0,0,0,0,0
1851,0,0,0,0,0
1852,0,0.05,0.05,0,0.05
1853,0.05,0,0.05,0.05,0.05
1854,0,0.06,0.06,0,0.06
1855,0,0,0,0,0
1856,0.05,0,0.05,0.05,0.05
1857,0,0,0,0,0
1858,0,0,0,0,0
1859,0.07,0.07,0.13,0.07,0.13
1860,0,0,0,0,0
1861,0,0,0,0,0
1862,0,0,0,0,0
1863,0,0,0,0,0
1864,0.04,0.04,0.08,0.04,0.08
1865,0,0.19,0.19,0,0.19
1866,0,0,0,0,0
1867,0,0,0,0,0
1868,0.27,0.36,0.63,0.27,0.63
1869,0,0,0,0,0
1870,0.04,0.17,0.21,0.04,0.21
1871,0,0,0,0,0
1872,0.13,0.09,0.22,0.13,0.22
1873,0.16,0.16,0.33,0.16,0.33
1874,0,0,0,0,0
1875,0.33,0.16,0.49,0.33,0.49
1876,0,0,0,0,0
1877,0.26,0.26,0.51,0.26,0.51
1878,0,0,0,0,0
1879,0.18,0.21,0.39,0.18,0.39
1880,0.29,0,0.29,0.29,0.29
1881,0,0,0,0,0
1882,0.21,0.17,0.38,0.21,0.38
1883,0,0,0,0,0
1884,0.17,0.03,0.2,0.07,0.1
1885,0.57,0.32,0.89,0.25,0.57
1886,0.04,0.07,0.11,0.04,0.11
1887,0.61,0,0.61,0.61,0.61
1888,0.08,0,0.08,0.08,0.08
1889,0,0,0,0,0
1890,0.24,0.08,0.32,0.24,0.32
1891,0.09,0.03,0.13,0.06,0.09
1892,0.81,0,0.81,0.68,0.68
1893,0.21,0,0.21,0.21,0.21
1894,0,0,0,0,0
1895,0.26,0.21,0.47,0.26,0.47
1896,0,0,0,0,0
1897,0.09,0.04,0.13,0.09,0.13
1898,0,0,0,0,0
1899,0,0,0,0,0
1900,0,0,0,0,0
1901,0.46,0,0.46,0.46,0.46
1902,0.43,0.21,0.64,0.43,0.64
1903,0.07,0,0.07,0.07,0.07
1904,0,0,0,0,0
1905,0.29,0.29,0.57,0.29,0.57
1906,0,0,0,0,0
1907,0,0,0,0,0
1908,0.24,0.17,0.42,0.24,0.42
1909,0.2,0.2,0.41,0.2,0.41
1910,0,0,0,0,0
1911,0,0,0,0,0
1912,0,0,0,0,0
1913,0,0,0,0,0
1914,0,0,0,0,0
1915,0,0,0,0,0
1916,0.04,0.04,0.09,0.04,0.09
1917,0.05,0,0.05,0.05,0.05
1918,0,0,0,0,0
1919,0.61,0.06,0.67,0.37,0.43
1920,0.1,0,0.1,0.1,0.1
1921,0,0.08,0.08,0,0.08
1922,0.52,0.14,0.66,0.33,0.47
1923,0.03,0.03,0.06,0.03,0.06
1924,0,0,0,0,0
1925,0,0,0,0,0
1926,0,0,0,0,0
1927,0,0.06,0.06,0,0.06
1928,0,0,0,0,0
1929,0.17,0.14,0.31,0.03,0.17
1930,0,0.09,0.09,0,0.09
1931,0,4,4,0,4
1932,0,0,0,0,0
1933,0.22,0,0.22,0.22,0.22
1934,0.11,0,0.11,0.11,0.11
1935,0.24,0.06,0.3,0.24,0.3
1936,0.08,0.08,0.16,0.08,0.16
1937,0.1,0,0.1,0.1,0.1
1938,0.07,0.07,0.14,0.07,0.14
1939,0,0.11,0.11,0,0.11
1940,0,0.23,0.23,0,0.23
1941,0,0.91,0.91,0,0.91
1942,0,0,0,0,0
1943,0,0.03,0.03,0,0.03
1944,0,0,0,0,0
1945,0,0,0,0,0
1946,0.21,0.37,0.57,0.16,0.53
1947,0,0,0,0,0
1948,0,0,0,0,0
1949,0,0,0,0,0
1950,0.2,0,0.2,0.2,0.2
1951,0,0,0,0,0
1952,0.2,0.1,0.29,0.1,0.2
1953,0,0.64,0.64,0,0.64
1954,0.15,0.04,0.19,0.15,0.19
1955,0.25,0.08,0.34,0.08,0.17
1956,0,0,0,0,0
1957,0.36,0.15,0.51,0.21,0.36
1958,0,0.03,0.03,0,0.03
1959,0,0.12,0.12,0,0.12
1960,0.06,0,0.06,0.06,0.06
1961,0.57,0.17,0.74,0.57,0.74
1962,0,0,0,0,0
1963,0,0.06,0.06,0,0.06
1964,0,0.48,0.48,0,0.48
1965,0.06,0,0.06,0.06,0.06
1966,0,0.1,0.1,0,0.1
1967,0.15,0.15,0.3,0.15,0.3
1968,0,0,0,0,0
1969,0,0,0,0,0
1970,0.3,0.3,0.6,0.3,0.6
1971,0,0,0,0,0
1972,0,0.44,0.44,0,0.44
1973,0,0,0,0,0
1974,0.36,0.36,0.71,0.36,0.71
1975,0.41,0.3,0.71,0.19,0.49
1976,0.16,0.16,0.32,0.16,0.32
1977,0,0.07,0.07,0,0.07
1978,0.12,0.24,0.36,0.12,0.36
1979,0.08,0,0.08,0.08,0.08
1980,0,0,0,0,0
1981,0,0,0,0,0
1982,0.12,0.12,0.24,0.12,0.24
1983,0,0,0,0,0
1984,0,0,0,0,0
1985,0,0,0,0,0
1986,0.18,0.18,0.36,0.18,0.36
1987,0,0,0,0,0
1988,0,0,0,0,0
1989,0,0,0,0,0
1990,0,0,0,0,0
1991,0.06,0,0.06,0.06,0.06
1992,0,0,0,0,0
1993,0,0,0,0,0
1994,0,0,0,0,0
1995,0.45,0.19,0.64,0.38,0.58
1996,0,0,0,0,0
1997,0,0,0,0,0
1998,0,0,0,0,0
1999,0.36,0.2,0.55,0.36,0.55
2000,0,0,0,0,0
2001,0,0,0,0,0
2002,0.07,0.14,0.21,0.07,0.21
2003,0.09,0.14,0.23,0.09,0.23
2004,0,0,0,0,0
2005,0,0.28,0.28,0,0.28
2006,0,0.12,0.12,0,0.12
2007,0,0,0,0,0
2008,0.48,0.16,0.64,0.48,0.64
2009,0.25,0,0.25,0.25,0.25
2010,0,0.74,0.74,0,0.74
2011,0,0,0,0,0
2012,0,0.06,0.06,0,0.06
2013,0,0,0,0,0
2014,0,0,0,0,0
2015,0.13,0.03,0.17,0.13,0.17
2016,0,0,0,0,0
2017,0,0,0,0,0
2018,0,0,0,0,0
2019,0,0.08,0.08,0,0.08
2020,0,0,0,0,0
2021,0.23,0.17,0.4,0.23,0.4
2022,0.26,0.37,0.63,0.26,0.63
2023,0.25,0,0.25,0.25,0.25
2024,0,0,0,0,0
2025,0,0,0,0,0
2026,0.04,0.09,0.13,0.04,0.13
2027,0.11,0.11,0.22,0.11,0.22
2028,0.28,0.11,0.4,0.28,0.4
2029,0.44,0.08,0.53,0.33,0.42
2030,0,0,0,0,0
2031,0.16,0.05,0.21,0.16,0.21
2032,0,0,0,0,0
2033,0.15,0.29,0.44,0.15,0.44
2034,0.39,0,0.39,0.39,0.39
2035,0.24,0.21,0.45,0.21,0.42
2036,0,0.14,0.14,0,0.14
2037,0,0,0,0,0
2038,0,0,0,0,0
2039,0,0,0,0,0
2040,0,0,0,0,0
2041,0.23,0,0.23,0.23,0.23
2042,0.08,0.08,0.16,0.08,0.16
2043,0,0,0,0,0
2044,0,0,0,0,0
2045,0.56,0.06,0.61,0.5,0.56
2046,0.12,0.17,0.29,0.12,0.29
2047,0.25,0.06,0.31,0.25,0.31
2048,0.17,0.33,0.5,0.17,0.5
2049,0.13,0.06,0.19,0.13,0.19
2050,0.38,0.21,0.59,0.24,0.45
2051,0,0.14,0.14,0,0.14
2052,0,0.09,0.09,0,0.09
2053,0.66,0.66,1.32,0.66,1.32
2054,0.06,0.13,0.19,0.06,0.19
2055,0.15,0.22,0.37,0.12,0.34
2056,0.14,0.07,0.2,0.14,0.2
2057,0.23,0.12,0.35,0.23,0.35
2058,0,0,0,0,0
2059,0,0,0,0,0
2060,0,0,0,0,0
2061,0.2,0.2,0.41,0.05,0.26
2062,0,0,0,0,0
2063,0,0,0,0,0
2064,0,0,0,0,0
2065,0,0,0,0,0
2066,0.2,0.15,0.35,0.2,0.35
2067,0.09,0.2,0.29,0.09,0.29
2068,0.29,0,0.29,0.29,0.29
2069,0,0,0,0,0
2070,0.11,0.11,0.22,0.11,0.22
2071,0.37,0.28,0.65,0.37,0.65
2072,0.55,0,0.55,0.48,0.48
2073,0,0,0,0,0
2074,0,0,0,0,0
2075,0.34,0,0.34,0.34,0.34
2076,0.03,0,0.03,0.03,0.03
2077,0.05,0.2,0.25,0.05,0.25
2078,0.49,0.16,0.65,0.49,0.65
2079,0,0,0,0,0
2080,0.42,0.42,0.84,0.42,0.84
2081,0.15,0,0.15,0.15,0.15
2082,0.04,0.07,0.11,0.04,0.11
2083,0.1,0.05,0.15,0.1,0.15
2084,0.06,0.06,0.12,0.06,0.12
2085,0,0,0,0,0
2086,0.39,0.06,0.44,0.39,0.44
2087,0,0,0,0,0
2088,0,0,0,0,0
2089,0,0,0,0,0
2090,0.64,0,0.64,0.64,0.64
2091,0,0,0,0,0
2092,0,0,0,0,0
2093,0.03,0.03,0.07,0.03,0.07
2094,0.04,0,0.04,0.04,0.04
2095,0,0.07,0.07,0,0.07
2096,0.03,0.03,0.07,0.03,0.07
2097,0.53,0,0.53,0.53,0.53
2098,0.34,0.11,0.45,0.34,0.45
2099,0,0,0,0,0
2100,0,0,0,0,0
2101,0,0,0,0,0
2102,0,0,0,0,0
2103,0.19,0.13,0.32,0.19,0.32
2104,0,0,0,0,0
2105,0.18,0.18,0.36,0.18,0.36
2106,0,0.17,0.17,0,0.17
2107,0.3,0.05,0.35,0.3,0.35
2108,0,0,0,0,0
2109,0.44,0,0.44,0.44,0.44
2110,0.16,0.11,0.27,0.16,0.27
2111,0.14,0.14,0.28,0.14,0.28
2112,0.63,0,0.63,0.63,0.63
2113,0,0,0,0,0
2114,0.23,0,0.23,0.23,0.23
2115,0.42,0.19,0.61,0.42,0.61
2116,0.17,0,0.17,0.17,0.17
2117,0,0,0,0,0
2118,0.15,0,0.15,0.15,0.15
2119,0,0,0,0,0
2120,0,0,0,0,0
2121,0,0,0,0,0
2122,0,0.22,0.22,0,0.22
2123,0.33,0.12,0.45,0.33,0.45
2124,0,0,0,0,0
2125,0,0,0,0,0
2126,0.33,0.27,0.6,0.33,0.6
2127,0,0,0,0,0
2128,0,0,0,0,0
2129,0,0,0,0,0
2130,0.13,0.13,0.25,0.13,0.25
2131,0,0.25,0.25,0,0.25
2132,0.06,0.11,0.17,0.06,0.17
2133,0.04,0.04,0.07,0.04,0.07
2134,0.15,0.05,0.2,0.15,0.2
2135,0,0,0,0,0
2136,0,0,0,0,0
2137,0.12,0.21,0.33,0.12,0.33
2138,0.31,0,0.31,0.31,0.31
2139,0.04,0.13,0.18,0.04,0.18
2140,0.03,0,0.03,0.03,0.03
2141,0.21,0.1,0.31,0.21,0.31
2142,0.36,0.12,0.48,0.36,0.48
2143,0.53,0.04,0.57,0.45,0.49
2144,0.37,0.12,0.49,0.3,0.43
2145,0.53,0,0.53,0.53,0.53
2146,0.08,0,0.08,0.08,0.08
2147,0,0,0,0,0
2148,0,0,0,0,0
2149,0,2.57,2.57,0,2.57
2150,0.16,0.08,0.23,0.16,0.23
2151,0.04,0.04,0.08,0.04,0.08
2152,0,0,0,0,0
2153,0,0.16,0.16,0,0.16
2154,0.45,0.23,0.68,0.45,0.68
2155,0.15,0.29,0.44,0.15,0.44
2156,0,0,0,0,0
2157,0,0,0,0,0
2158,0,0,0,0,0
2159,0,0.11,0.11,0,0.11
2160,0,0.43,0.43,0,0.43
2161,0,0.26,0.26,0,0.26
2162,0,0,0,0,0
2163,0,0,0,0,0
2164,0.16,0.08,0.24,0.08,0.16
2165,0,0,0,0,0
2166,0.14,0,0.14,0.14,0.14
2167,0,0.37,0.37,0,0.37
2168,0.35,0.07,0.42,0.35,0.42
2169,0.14,0,0.14,0,0
2170,0,0,0,0,0
2171,0.17,0.33,0.5,0.17,0.5
2172,0,0,0,0,0
2173,0,0,0,0,0
2174,0,0,0,0,0
2175,0,0.13,0.13,0,0.13
2176,0.34,0.28,0.62,0.34,0.62
2177,0.18,0.12,0.31,0.12,0.25
2178,0.44,0,0.44,0.44,0.44
2179,0,0,0,0,0
2180,0,0,0,0,0
2181,0.56,0.2,0.76,0.56,0.76
2182,0.08,0.12,0.19,0.08,0.19
2183,0.12,0,0.12,0,0
2184,0,0,0,0,0
2185,0.1,0.16,0.26,0.1,0.26
2186,0,0.08,0.08,0,0.08
2187,0,0,0,0,0
2188,0,0.12,0.12,0,0.12
2189,0.19,0.08,0.27,0.19,0.27
2190,0,0,0,0,0
2191,0.09,0.17,0.26,0.09,0.26
2192,0,0,0,0,0
2193,0.35,0.35,0.7,0.35,0.7
2194,0,0,0,0,0
2195,0,0,0,0,0
2196,0,0,0,0,0
2197,0,0,0,0,0
2198,0,0,0,0,0
2199,0.32,0.24,0.55,0.32,0.55
2200,0.25,0.1,0.34,0.25,0.34
2201,0,0,0,0,0
2202,0.18,0.23,0.41,0.18,0.41
2203,0,0,0,0,0
2204,0,0,0,0,0
2205,0.08,0.25,0.34,0.08,0.34
2206,0,0,0,0,0
2207,0,0,0,0,0
2208,0,0,0,0,0
2209,0,0.08,0.08,0,0.08
2210,0.06,0.03,0.09,0.03,0.06
2211,0,0.1,0.1,0,0.1
2212,0,1.01,1.01,0,1.01
2213,0,0,0,0,0
2214,0.22,0.09,0.31,0.19,0.28
2215,0.19,0.06,0.25,0.19,0.25
2216,0.04,0.16,0.21,0.04,0.21
2217,0,0,0,0,0
2218,0.1,0,0.1,0.1,0.1
2219,0.08,0.08,0.16,0.08,0.16
2220,0.03,0.03,0.06,0.03,0.06
2221,0.17,0.09,0.26,0.17,0.26
2222,0.32,0,0.32,0.15,0.15
2223,0,0,0,0,0
2224,0,0.08,0.08,0,0.08
2225,0,0.13,0.13,0,0.13
2226,0,0,0,0,0
2227,0.14,0.14,0.28,0.14,0.28
2228,0,0.06,0.06,0,0.06
2229,0,0,0,0,0
2230,0.1,0.19,0.29,0.1,0.29
2231,0.07,0.13,0.2,0.07,0.2
2232,0.03,0.19,0.21,0.03,0.21
2233,0,0,0,0,0
2234,0.29,0,0.29,0.29,0.29
2235,0,0.1,0.1,0,0.1
2236,0,0,0,0,0
2237,0.32,0,0.32,0.32,0.32
2238,0,0,0,0,0
2239,0,0,0,0,0
2240,0,0.06,0.06,0,0.06
2241,0,0,0,0,0
2242,0.06,0,0.06,0.06,0.06
2243,0,0,0,0,0
2244,0.07,0.07,0.13,0.03,0.1
2245,0.49,0.14,0.63,0.49,0.63
2246,0,0,0,0,0
2247,0.08,0.08,0.16,0.08,0.16
2248,0,0,0,0,0
2249,0.33,0,0.33,0.26,0.26
2250,0.03,0,0.03,0.03,0.03
2251,0.31,0.2,0.51,0.31,0.51
2252,0.07,0.14,0.21,0.07,0.21
2253,0,0,0,0,0
2254,0,0,0,0,0
2255,0,0,0,0,0
2256,0.09,0.55,0.64,0.09,0.64
2257,0,0,0,0,0
2258,0,0.05,0.05,0,0.05
2259,0,0,0,0,0
2260,0.05,0.05,0.09,0.05,0.09
2261,0.07,0.07,0.14,0.07,0.14
2262,0.05,0.05,0.1,0.05,0.1
2263,0.93,0.06,1,0.74,0.8
2264,0.07,0.07,0.15,0.07,0.15
2265,0.05,0.1,0.14,0.05,0.14
2266,0.03,0.03,0.06,0.03,0.06
2267,0,0.15,0.15,0,0.15
2268,0,0,0,0,0
2269,0,0.15,0.15,0,0.15
2270,0.08,0,0.08,0.08,0.08
2271,0,0,0,0,0
2272,0.24,0,0.24,0,0
2273,0,0,0,0,0
2274,0.05,0,0.05,0.05,0.05
2275,0.05,0.16,0.21,0.05,0.21
2276,0,0,0,0,0
2277,0,0,0,0,0
2278,0.09,0.09,0.18,0.09,0.18
2279,0,0,0,0,0
2280,0,0,0,0,0
2281,0,0.11,0.11,0,0.11
2282,0.11,0.11,0.23,0.11,0.23
2283,0.11,0.04,0.14,0.11,0.14
2284,0,0,0,0,0
2285,0,0,0,0,0
2286,0.08,0,0.08,0.08,0.08
2287,0,0,0,0,0
2288,0,0,0,0,0
2289,0.37,0,0.37,0.37,0.37
2290,0,0,0,0,0
2291,0,0,0,0,0
2292,0,0.17,0.17,0,0.17
2293,0,0,0,0,0
2294,0.19,0.19,0.38,0.19,0.38
2295,0,0,0,0,0
2296,0,0,0,0,0
2297,0.03,0.06,0.09,0.03,0.09
2298,0,0,0,0,0
2299,0.36,0.13,0.49,0.18,0.31
2300,0.09,0.18,0.27,0.09,0.27
2301,0,0,0,0,0
2302,0.17,0.23,0.4,0.17,0.4
2303,0.2,0,0.2,0.2,0.2
2304,0.11,0,0.11,0.11,0.11
2305,0.18,0.11,0.28,0.18,0.28
2306,0,0.04,0.04,0,0.04
2307,0,0,0,0,0
2308,0,0,0,0,0
2309,0,0,0,0,0
2310,0.64,0.15,0.79,0.47,0.61
2311,0.24,0,0.24,0.24,0.24
2312,0.05,0,0.05,0.05,0.05
2313,0,0,0,0,0
2314,0,0,0,0,0
2315,0.43,0.16,0.6,0.38,0.54
2316,0.09,0,0.09,0.09,0.09
2317,0,0.45,0.45,0,0.45
2318,0,0.07,0.07,0,0.07
2319,0.29,0,0.29,0.29,0.29
2320,0.04,0.22,0.26,0.04,0.26
2321,0,0.16,0.16,0,0.16
2322,0,0,0,0,0
2323,0.46,0.09,0.55,0.46,0.55
2324,0.29,0,0.29,0.29,0.29
2325,0.17,0.17,0.35,0.17,0.35
2326,0.07,0.21,0.28,0.07,0.28
2327,0,0,0,0,0
2328,0.55,0.39,0.94,0.55,0.94
2329,0,0,0,0,0
2330,0.1,0.03,0.14,0.1,0.14
2331,0,0,0,0,0
2332,0,0.37,0.37,0,0.37
2333,0,1.84,1.84,0,1.84
2334,0,0,0,0,0
2335,0.35,0.48,0.83,0.31,0.79
2336,0.1,0.05,0.15,0.1,0.15
2337,0.3,0.45,0.75,0.3,0.75
2338,0,0,0,0,0
2339,0,0.09,0.09,0,0.09
2340,0,0,0,0,0
2341,0,0,0,0,0
2342,0,0,0,0,0
2343,0.22,0.33,0.54,0.22,0.54
2344,0.15,0.15,0.31,0.15,0.31
